,Make,Year of manufacture,Condition,Mileage,Engine_Size,Fuel,Transmission,Price,Build
2193,7,2006,0,328495,3500,0,0,1872000,0
2194,7,2004,1,401187,3500,0,0,2912000,0
2195,14,2007,0,220726,3500,0,0,4680000,0
2197,5,2010,0,270431,3500,0,0,2612000,0
2202,27,2003,0,170206,3000,0,0,2704000,0
2208,7,2005,0,159924,3500,0,0,1872000,0
2211,2,2002,0,176466,3000,0,0,1687500,0
2212,5,2001,0,239647,2800,0,0,1365000,0
2214,14,2007,0,220726,3500,0,0,4680000,0
2215,27,2003,0,116440,2000,0,0,2080000,0
2216,24,2012,1,163834,2000,0,0,10185000,0
2217,17,2007,0,110735,3500,0,0,2940000,0
2219,14,2004,0,151357,3300,0,0,4680000,0
2222,9,2012,0,1580052,2200,0,0,2310000,0
2226,17,2007,0,110735,3500,0,0,2940000,0
2233,19,2007,0,233903,3000,0,0,1680000,0
2234,7,2005,0,273444,3500,0,0,1560000,0
2243,5,2007,0,115945,3500,0,3,1575000,0
2246,14,2008,0,115820,4700,0,0,4200000,0
2247,17,2007,0,243975,4700,0,0,2310000,0
2250,19,2014,0,93520,5600,0,0,2310000,0
2254,9,2009,0,87854,2000,0,0,1575000,0
2260,14,2000,0,222631,4700,0,0,1470000,0
2264,12,2013,0,85282,2400,0,0,4200000,0
2275,27,2007,0,150420,2400,0,0,2100000,0
2282,7,2004,0,143321,2300,0,0,2704000,0
2283,13,2006,0,188429,4200,0,0,2940000,0
2284,19,2007,0,233903,3000,0,0,1680000,0
2290,27,2003,0,170206,3000,0,0,2704000,0
2300,7,2006,0,233846,3500,0,0,1575000,0
2304,19,2014,0,118154,2500,0,2,5775000,0
2305,18,2004,0,361889,3800,0,0,2625000,0
2308,27,2012,1,206117,3500,0,0,9152000,0
2309,5,2013,0,133104,3500,0,0,3465000,0
2310,12,2013,0,85282,2400,0,0,4200000,0
2311,10,2001,0,141538,3500,0,0,1260000,0
2316,18,2003,0,246600,2400,0,0,1575000,0
2321,7,2011,0,166352,3500,0,0,2415000,0
2322,7,2005,0,273444,3500,0,0,1560000,0
2323,19,2005,0,208886,40,0,0,3016000,0
2328,17,2009,0,151643,4000,0,0,4725000,0
2330,14,2005,0,174427,3300,0,0,3045000,0
2337,19,2009,0,213292,3500,0,2,1575000,0
2345,14,2000,0,154995,3500,0,0,1680000,0
2348,7,2007,0,134716,2400,0,0,2046000,0
2350,17,2008,0,142557,47000,0,0,4725000,0
2351,7,2009,0,179313,3500,0,0,2625000,0
2365,27,2008,1,105681,3500,0,0,26000000,0
2373,19,2001,0,188490,3300,0,0,1260000,0
2376,17,2007,0,243975,4700,0,0,2310000,0
2391,17,2009,0,151643,4000,0,0,4725000,0
2401,7,2009,0,179313,3500,0,0,2625000,0
2410,27,2008,0,56761,5700,0,0,5250000,0
2412,5,2007,0,115945,3500,0,3,1575000,0
2424,27,2008,0,56761,5700,0,0,5250000,0
2430,19,2003,0,239830,2500,0,0,1785000,0
2432,7,2008,0,88690,2400,0,0,2100000,0
2435,13,2006,0,114307,4400,0,0,1680000,0
2436,14,2000,0,154995,3500,0,0,1680000,0
2442,7,2011,0,166352,3500,0,0,2415000,0
2444,27,2001,0,174340,2000,0,0,1872000,0
2446,14,2005,0,221522,3300,0,0,3328000,0
2455,14,2009,0,156501,3500,0,0,3585000,0
2458,27,2003,0,218717,2000,0,0,1768000,0
2462,19,2005,0,468578,2500,0,0,1680000,0
2463,17,2005,0,134162,3700,0,0,2940000,0
2467,7,2004,0,215019,3500,0,0,1560000,0
2469,17,2008,0,212117,3500,0,0,3150000,0
2473,5,2008,0,171962,3500,0,0,2704000,0
2474,7,2007,1,183460,35,0,0,3150000,0
2486,19,2008,0,77687,45,0,0,1575000,0
2488,17,2003,0,320327,3200,0,0,1872000,0
2493,2,2002,0,176466,3000,0,0,1687500,0
2500,10,2004,0,262823,3500,0,0,1575000,0
2504,19,2009,0,213292,3500,0,2,1575000,0
2521,17,2003,0,320327,3200,0,0,1872000,0
2538,17,2002,1,311373,3200,0,0,2625000,0
2547,7,2007,0,140942,2400,0,0,1890000,0
2558,14,1999,0,225668,3000,0,0,1938000,0
2560,19,2013,0,99116,2000,0,0,2100000,0
2573,19,2005,0,185972,4700,0,0,2100000,0
2574,7,2007,1,183460,35,0,0,3150000,0
2575,18,2003,0,165711,2000,0,0,1365000,0
2577,7,2003,0,404395,3000,0,0,1664000,0
2578,17,2014,0,29355,4700,0,0,15600000,0
2579,7,2007,0,343376,2000,0,0,2310000,0
2582,7,2004,1,397157,2400,0,0,2310000,0
2587,27,2001,0,119510,3000,0,0,1352000,0
2589,18,2003,0,165711,2000,0,0,1365000,0
2590,7,2008,0,129345,2400,0,0,2808000,0
2591,19,2001,0,254983,3500,0,0,1050000,0
2593,17,2006,0,172043,5000,0,0,2730000,0
2602,7,2009,0,87829,2400,0,0,2100000,0
2604,7,2003,0,227135,3500,0,3,1260000,0
2607,7,2007,0,140942,2400,0,0,1890000,0
2609,10,2004,0,102584,3500,0,0,1768000,0
2612,7,2004,1,397157,2400,0,0,2310000,0
2628,27,2007,0,223493,3500,2,0,2100000,0
2630,16,2008,1,185577,2300,0,0,2835000,0
2641,7,2007,0,186435,2400,0,0,2310000,0
2642,18,2001,0,285619,3000,0,0,1155000,0
2653,27,2003,0,218717,2000,0,0,1768000,0
2658,14,2013,0,173409,3500,0,0,8400000,0
2664,7,2007,0,186435,2400,0,0,2310000,0
2675,14,2008,1,169765,3500,0,0,5928000,0
2676,19,2001,0,254983,3500,0,0,1050000,0
2679,10,2004,0,102584,3500,0,0,1768000,0
2680,5,2007,0,192111,3500,0,0,1732500,0
2686,18,2001,0,285619,3000,0,0,1155000,0
2689,0,2005,0,111304,3500,0,0,1155000,0
2694,5,2005,0,166747,2000,0,0,1250000,0
2699,2,2007,0,316930,3000,0,0,2415000,0
2700,2,2008,1,248853,3000,0,0,5250000,0
2701,5,2005,0,166747,2000,0,0,1250000,0
2710,7,2008,0,158512,3500,0,0,2808000,0
2712,2,2007,0,316930,3000,0,0,2415000,0
2718,5,2014,0,145088,2400,0,0,2940000,0
2733,5,2007,0,192111,3500,0,0,1732500,0
2754,18,2010,0,136376,3500,0,0,3675000,0
2760,0,2005,0,111304,3500,0,0,1155000,0
2762,19,2003,0,210314,3300,0,0,1050000,0
2770,17,2010,1,83411,3500,0,0,8550000,0
2780,14,2000,0,368725,3000,0,0,1365000,0
2787,5,2012,0,115780,2000,0,0,3150000,0
2797,27,2001,0,288909,3300,0,0,1260000,0
2802,27,2005,0,123331,2000,0,1,1785000,0
2805,27,2005,0,123331,2000,0,1,1785000,0
2806,27,2008,1,242748,3500,0,0,4275000,0
2812,2,2013,1,167237,2000,0,0,10500000,0
2817,19,2001,0,230637,3500,0,0,1248000,0
2819,19,1997,0,201847,3300,0,0,1050000,0
2822,7,2003,0,194620,2400,0,0,1575000,0
2832,19,2003,0,210314,3300,0,0,1050000,0
2834,7,2004,0,255681,3500,0,0,1260000,0
2835,7,2010,0,79733,2400,0,0,1995000,0
2841,14,2015,0,125309,3500,0,0,10500000,0
2848,17,2007,0,244307,3500,0,0,2625000,0
2850,29,2005,0,162749,2900,0,0,2080000,0
2881,19,2001,0,230637,3500,0,0,1248000,0
2884,29,2008,0,176452,3200,0,0,2600000,0
2886,7,2007,0,143050,2400,0,0,2912000,0
2891,19,2004,0,395355,3500,0,0,1050000,0
2907,17,2010,1,83411,3500,0,0,8550000,0
2915,9,2006,0,242966,2700,0,0,1260000,0
2917,2,2010,1,280474,3000,0,0,5250000,0
2921,29,2007,0,258928,3200,0,0,2835000,0
2926,2,2016,1,111617,2000,0,0,14700000,0
2929,29,2008,0,163549,3200,0,0,2835000,0
2931,29,2008,1,121034,3200,0,0,2835000,0
2936,9,2003,0,257093,2400,0,0,1155000,0
2939,2,2004,1,232322,3000,0,0,3360000,0
2940,13,2006,1,333151,40000,0,0,5565000,0
2944,27,2008,1,242748,3500,0,0,4275000,0
2952,28,2004,0,199282,4200,0,0,1995000,0
2953,2,2013,1,167237,2000,0,0,10500000,0
2959,28,2012,0,90783,2000,0,0,1575000,0
2960,28,2004,0,199282,4200,0,0,1995000,0
2969,28,2006,0,264945,3200,0,0,1575000,0
2970,14,1999,0,294332,3000,0,0,1365000,0
2972,17,2008,0,225273,3500,0,0,4680000,0
2980,2,2008,1,258273,4800,0,0,3990000,0
2992,29,2007,0,258928,3200,0,0,2835000,0
2994,29,2005,0,125634,2500,0,0,1050000,0
2995,7,2008,0,169918,2400,0,0,2496000,0
3000,0,2005,0,340959,3500,0,0,1155000,0
3005,19,2005,0,174427,4000,0,0,1575000,0
3008,27,2003,0,158207,3000,0,0,1890000,0
3013,29,2005,0,125634,2500,0,0,1050000,0
3014,7,2008,0,169918,2400,0,0,2496000,0
3017,0,2005,0,340959,3500,0,0,1155000,0
3022,19,2006,0,208687,25,0,0,1365000,0
3027,27,2003,0,158207,3000,0,0,1890000,0
3028,28,2006,0,264945,3200,0,0,1575000,0
3029,7,2010,0,79733,2400,0,0,1995000,0
3038,16,2007,0,167427,2300,0,0,1260000,0
3041,12,2006,0,284462,2000,0,1,1260000,0
3047,14,2005,0,196345,3300,0,0,3432000,0
3051,17,2008,0,88737,5600,0,0,4837500,0
3052,27,2016,0,82716,2500,0,0,9360000,0
3086,9,2016,0,207198,1600,0,0,4200000,0
3088,7,2010,1,116737,3500,0,0,4200000,0
3097,27,2001,0,43473,2000,0,0,1050000,0
3098,17,2011,1,113796,4600,0,0,8320000,0
3103,7,2003,0,166375,2400,0,0,1155000,0
3108,17,2015,1,225529,2500,0,0,16640000,0
3114,19,2002,0,253070,3500,0,0,1144000,0
3115,14,2005,0,196345,3300,0,0,3432000,0
3118,7,2003,0,166375,2400,0,0,1155000,0
3126,10,2005,0,133457,5600,0,0,3150000,0
3128,2,2007,0,89287,3000,0,0,2625000,0
3134,14,2017,1,41905,3500,0,0,27040000,0
3140,2,2007,0,89287,3000,0,0,2625000,0
3146,12,2010,0,259460,2400,0,0,1995000,0
3153,14,2017,1,41905,3500,0,0,27040000,0
3177,6,2012,1,89897,2400,0,0,5775000,0
3191,10,2005,0,133457,5600,0,0,3150000,0
3201,5,2011,1,136857,2500,0,0,1260000,0
3208,14,1999,0,404250,3000,0,0,2080000,0
3219,14,2000,0,333387,3000,0,0,1470000,0
3223,1,2010,1,159339,3200,0,0,6300000,0
3244,17,2011,1,129709,5500,0,0,13275000,0
3245,14,2007,0,169032,3300,2,0,1575000,0
3247,5,2007,0,219958,3500,0,0,2025000,0
3248,18,2008,0,70000,3800,0,0,1050000,0
3254,14,1999,0,404250,3000,0,0,2080000,0
3258,14,2007,0,169032,3300,2,0,1575000,0
3274,7,2003,0,305644,3500,0,0,1456000,0
3289,20,1999,0,216343,1800,0,1,1470000,0
3292,7,2003,0,305644,3500,0,0,1456000,0
3305,29,2004,0,567302,2500,0,0,1890000,0
3314,14,2012,0,128484,3500,0,0,8320000,0
3316,5,2011,1,113188,3500,0,0,4162500,0
3317,1,2019,0,24577,5500,0,0,49350000,0
3318,14,2012,0,128484,3500,0,0,8320000,0
3323,12,2011,0,24798,3800,0,0,4200000,0
3324,27,2003,0,157097,4700,0,0,2860000,0
3333,19,2003,0,270851,2500,0,0,1050000,0
3339,20,2000,0,419605,1800,0,0,1260000,0
3348,27,2002,0,261978,3000,0,0,2025000,0
3362,5,2011,1,113188,3500,0,0,4162500,0
3369,12,2011,0,24798,3800,0,0,4200000,0
3389,14,2006,0,63728,3,2,0,3952000,0
3393,27,2004,0,52982,4700,0,0,2808000,0
3402,26,2009,0,113587,2000,0,0,2100000,0
3405,29,2005,1,297589,3000,0,0,1260000,0
3408,27,2004,0,52982,4700,0,0,2808000,0
3414,26,2009,0,113587,2000,0,0,2100000,0
3420,5,2012,1,172743,33,0,0,5460000,0
3421,19,2012,0,199155,2500,0,0,1260000,0
3427,14,2001,0,198044,3000,0,0,1365000,0
3437,7,2004,0,177588,3500,0,0,1872000,0
3438,27,2001,1,111027,3000,0,0,3600000,0
3443,29,2008,1,12074,3200,0,0,3432000,0
3444,5,2009,1,179134,35,0,0,4837500,0
3445,27,2007,0,213548,3500,0,0,3328000,0
3449,14,2001,0,198044,3000,0,0,1365000,0
3452,29,2008,1,12074,3200,0,0,3432000,0
3458,7,2004,0,177588,3500,0,0,1872000,0
3466,27,2001,1,111027,3000,0,0,3600000,0
3483,14,2014,0,53558,3500,0,0,8400000,0
3492,27,2005,0,217805,2400,0,0,1260000,0
3502,9,2004,0,180368,3500,0,0,1260000,0
3524,7,2004,0,198184,3500,0,0,1872000,0
3537,9,2004,0,180368,3500,0,0,1260000,0
3552,17,2014,0,143207,3500,0,0,9000000,0
3569,14,2004,1,94868,4700,0,0,7200000,0
3574,10,2002,0,109615,3500,0,0,892500,0
3575,14,2004,1,94868,4700,0,0,7200000,0
3579,5,2013,1,171155,3500,0,0,4935000,0
3580,19,2001,0,172358,3500,0,0,1248000,0
3591,10,2005,0,204946,3500,0,0,2812500,0
3593,0,2016,0,163198,3500,0,0,11025000,0
3594,14,2001,0,283860,3000,0,0,2600000,0
3600,10,2002,0,109615,3500,0,0,892500,0
3605,14,2013,1,219832,3400,0,0,13500000,0
3607,11,2008,1,239555,3700,0,0,4500000,0
3611,27,2006,0,244551,4000,0,0,3150000,0
3628,18,2005,0,159742,3500,0,0,1012500,0
3631,27,2008,0,206410,2500,0,0,2475000,0
3633,14,2006,1,119197,3300,0,0,5850000,0
3635,9,2013,0,269194,2000,0,0,4095000,0
3636,5,2013,1,226430,2500,0,0,5145000,0
3645,27,2017,1,77647,2500,0,0,12180000,0
3649,27,2020,1,57656,3500,0,0,42750000,0
3651,19,2007,0,136312,4000,0,0,2025000,0
3657,27,2006,0,268487,3300,0,0,2812500,0
3660,14,2004,1,146152,3300,0,0,4515000,0
3661,10,2003,0,195784,3500,0,0,945000,0
3664,27,2003,0,367531,4000,0,0,2137500,0
3668,14,2001,0,227119,3000,0,0,2587500,0
3670,19,1997,0,377755,3300,0,1,840000,0
3676,14,2008,0,164490,3500,0,0,6300000,0
3679,27,1997,0,393678,3400,0,0,1462500,0
3684,7,2004,0,344102,3500,0,0,1687500,0
3691,19,2001,0,318605,3500,0,0,840000,0
3694,14,2001,0,227119,3000,0,0,2587500,0
3700,14,2008,0,164490,3500,0,0,6300000,0
3702,27,1997,0,393678,3400,0,0,1462500,0
3706,19,2002,0,338106,3500,0,0,945000,0
3708,17,2006,0,225474,3500,0,0,4500000,0
3709,7,1997,0,289470,2000,0,0,787500,0
3710,16,2010,0,322717,2500,0,0,2100000,0
3712,19,2001,0,318605,3500,0,0,840000,0
3715,17,2013,0,181876,3500,0,0,12375000,0
3733,14,1999,0,380983,3000,0,0,1687500,0
3736,19,2001,0,266361,3500,0,0,787500,0
3738,27,2010,0,177112,3500,0,0,6525000,0
3743,27,2004,0,189886,4000,0,0,3375000,0
3749,7,2002,0,385231,2400,0,0,945000,0
3751,18,2001,0,188821,3500,0,0,945000,0
3754,5,2014,1,71208,3500,0,0,9000000,0
3755,14,1999,0,197165,3000,0,0,2137500,0
3756,5,2008,0,12500,3000,0,0,1462500,0
3769,5,2014,1,71208,3500,0,0,9000000,0
3771,14,1999,0,197165,3000,0,0,2137500,0
3773,5,2008,0,12500,3000,0,0,1462500,0
3780,14,2005,0,258030,3300,0,0,3600000,0
3794,13,2008,1,137794,3200,0,0,3675000,0
3799,14,2006,0,241518,3300,2,0,3255000,0
3803,27,2008,0,72138,2400,0,0,3640000,0
3805,7,2000,0,198095,2000,0,0,840000,0
3814,5,2012,0,71210,3500,0,0,4837500,0
3815,7,2005,0,94051,3500,0,0,1872000,0
3817,14,2005,1,176454,3000,0,0,4837500,0
3828,27,2006,0,312878,3300,0,0,3375000,0
3853,7,2010,0,115229,3500,0,0,3375000,0
3854,0,2005,0,122273,3500,0,0,2250000,0
3869,7,2010,0,115229,3500,0,0,3375000,0
3878,19,2005,0,136348,4000,0,0,1631250,0
3893,19,2005,0,136348,4000,0,0,1631250,0
3903,17,2007,1,145683,4700,0,0,5625000,0
3910,17,2007,0,94605,3500,0,0,2812500,0
3913,27,2010,1,165262,3500,0,0,9000000,0
3918,17,2007,0,94605,3500,0,0,2812500,0
3922,27,2010,1,165262,3500,0,0,9000000,0
3928,0,2008,0,133729,3700,0,0,5400000,0
3929,27,2004,1,120656,3300,0,0,3990000,0
3933,27,2003,0,342160,3000,0,0,2812500,0
3937,27,2008,1,107241,3500,0,0,5850000,0
3938,27,2008,1,240823,3500,0,0,7875000,0
3941,14,2007,1,86212,3500,0,0,6525000,0
3945,27,2008,1,240823,3500,0,0,7875000,0
3947,14,2007,1,86212,3500,0,0,6525000,0
3951,14,2009,0,25416,3500,0,0,5850000,0
3960,14,2002,0,309946,3000,0,0,2250000,0
3962,2,2007,0,135253,4800,0,0,4500000,0
3964,27,1998,0,382234,3400,0,0,1406250,0
3965,27,1998,0,165135,2000,0,1,840000,0
3967,17,2005,1,256118,3500,0,0,3375000,0
3978,14,2012,1,88804,3500,0,0,11250000,0
3982,10,2007,0,169446,3500,0,0,2812500,0
3986,19,2005,0,113950,3000,0,0,1125000,0
3990,19,2005,0,113950,3000,0,0,1125000,0
3997,27,2008,0,152275,3500,0,0,4387500,0
3999,27,2008,1,168405,2400,0,0,5006250,0
4002,17,2008,0,216496,3500,0,0,3375000,0
4004,27,2010,1,103428,2700,0,0,7560000,0
4006,13,2018,0,8711,3000,0,0,39375000,0
4008,16,2014,1,94365,3500,0,0,8437500,0
4012,27,2002,0,180145,3000,0,0,1912500,0
4014,27,2010,0,144286,2500,0,0,3825000,0
4015,16,2010,0,117611,35,0,0,3487500,0
4019,14,2014,0,82573,4600,0,0,20250000,0
4025,7,2006,0,55258,2400,0,0,1800000,0
4027,3,2020,0,24019,200,0,0,20250000,0
4031,29,2004,1,367920,2900,0,0,2625000,0
4033,3,2020,0,17688,1800,0,0,10125000,0
4037,3,2020,0,17688,1800,0,0,10125000,0
4040,27,2001,0,190597,3000,0,0,2250000,0
4042,27,2010,0,143971,3600,0,0,5625000,0
4044,7,2001,0,201202,2000,0,0,618750,0
4047,27,2013,1,163315,3500,0,0,5163750,0
4048,5,2002,0,158318,3500,0,0,1462500,0
4049,7,2007,0,136866,3500,0,0,2250000,0
4050,7,2007,0,136866,3500,0,0,2250000,0
4052,27,2011,1,66821,2500,0,0,6032000,0
4053,22,2006,1,215921,4500,0,0,5775000,0
4057,27,2009,0,117409,2700,0,0,4387500,0
4058,27,2018,1,64098,2700,0,0,45000000,0
4064,13,2005,0,205158,4400,0,0,3600000,0
4067,27,2001,0,151916,3000,0,0,1575000,0
4075,27,2007,0,126793,3300,2,0,2981250,0
4076,17,2007,0,201183,4700,0,0,5625000,0
4084,14,2006,0,183979,4700,0,0,5720000,0
4085,7,2013,0,103704,25,0,0,5625000,0
